id,name,category_id,unit_price,cost_price,stock,sku,created_at
1,Streamlined modular frame,1,334.99,150.06,35,LTK-46660,2026-02-23T20:39:02.524694
2,Mandatory uniform structure,2,267.77,97.12,23,TKQ-38758,2026-02-27T20:27:26.408313
3,Course finally,1,254.75,162.12,179,WLR-17248,2026-03-01T09:02:39.668075
4,Streamlined background definition,4,204.9,94.52,1,XQL-53465,2026-01-20T09:48:25.326912
5,Decentralized methodical application,3,315.67,153.45,39,MGH-99917,2026-02-27T06:12:18.435565
6,I next,6,50.48,25.34,91,MVA-46022,2026-03-07T03:48:44.662810
7,Persevering client-server functionalities,5,364.17,233.76,137,UOD-21752,2026-01-01T07:28:00.005089
8,Eye determine,7,40.07,18.72,160,INB-29271,2026-02-11T19:30:32.475518
9,Open-architected interactive matrices,6,261.92,165.49,11,UXA-60083,2026-02-28T21:01:45.509219
10,Versatile multi-tasking core,5,443.42,306.9,25,TIG-00335,2026-01-26T07:34:59.382672
11,Per follow,8,287.88,142.77,94,DUH-21044,2026-02-09T08:42:39.288043
12,Green leader,5,317.31,197.82,18,KZZ-25753,2026-01-02T06:17:43.916064
13,Face-to-face upward-trending capacity,3,242.69,108.71,118,HXT-30982,2026-02-12T22:31:20.862463
14,Always how,4,309.65,212.77,198,DQG-48909,2026-02-13T03:19:04.500052
15,Again anything,1,363.25,185.43,16,JQE-16761,2026-02-16T07:49:51.595887
16,Describe run,6,99.62,54.76,164,RNM-04618,2026-02-16T06:01:19.783886
17,Operative bi-directional migration,5,67.14,43.51,137,FMM-91411,2026-01-14T04:25:24.407335
18,Everyone theory,7,404.53,206.21,56,KCJ-83564,2026-02-02T18:16:35.776045
19,Expanded system-worthy matrices,3,231.74,89.54,12,HKQ-53001,2026-02-02T14:42:40.644450
20,Cross-group zero-defect migration,3,284.21,189.52,108,SQD-11437,2026-01-04T07:19:55.738116
21,Enhanced 6thgeneration frame,7,174.82,130.84,135,WCA-55611,2026-02-26T05:39:11.065396
22,Record radio,1,307.73,121.81,137,RUF-25579,2026-01-25T14:16:17.691785
23,Mandatory contextually-based budgetary management,6,54.64,28.63,116,SEZ-66746,2026-01-28T20:04:44.358376
24,Various subject,5,437.49,286.46,129,GAL-21202,2026-02-01T20:36:22.692066
25,Re-contextualized systematic intranet,5,379.54,209.91,50,BRU-29659,2026-03-06T06:02:08.601883
26,Case meeting,3,245.02,162.07,135,EQP-71670,2026-01-21T17:47:06.096412
27,Triple-buffered systematic moderator,6,222.43,87.8,92,HSS-99358,2026-02-10T19:21:13.677084
28,Optional stable superstructure,5,111.56,49.79,145,JND-37562,2026-01-01T18:26:47.977093
29,Diverse motivating leverage,2,330.7,223.69,194,PVR-72175,2026-01-04T07:45:38.443579
30,Face-to-face neutral project,3,62.13,33.56,140,CZK-66317,2026-01-30T13:50:02.275178
31,Tough moment,7,434.14,313.26,193,GZA-75170,2026-01-03T08:45:41.197492
32,Reactive 24hour array,4,322.26,164.22,171,NPQ-99488,2026-01-31T02:40:47.945893
33,Mandatory high-level application,8,405.33,215.07,63,MET-37589,2026-02-13T09:01:12.115485
34,Sense local,6,14.36,8.21,150,WOZ-11305,2026-01-20T06:31:54.524212
35,Nearly hour,2,319.99,119.53,17,TVU-10272,2026-01-28T00:13:54.011519
36,Function-based reciprocal customer loyalty,6,36.53,16.26,171,YMT-31637,2026-01-23T07:19:16.627070
37,Versatile intangible analyzer,3,326.89,229.79,147,GIF-91779,2026-01-01T06:52:16.484255
38,User-centric actuating neural-net,8,364.34,155.27,24,SLL-69782,2026-02-18T05:10:41.581157
39,De-engineered bi-directional info-mediaries,6,193.49,103.87,186,AMS-99586,2026-02-20T07:40:45.793741
40,Eye information,2,31.97,20.5,27,AMS-54722,2026-02-28T12:12:23.733046
41,Music firm,4,243.65,98.94,46,NNT-85833,2026-01-20T04:18:27.448275
42,Hair will,4,394.15,149.84,140,THW-22885,2026-01-24T05:58:50.468276
43,Media pass,1,436.2,314.3,60,ZAH-96846,2026-01-08T00:39:36.365585
44,I check,8,219.2,152.53,15,SRQ-00342,2026-01-10T15:57:27.137586
45,Assume rock,1,443.46,202.25,200,CGN-43805,2026-02-27T07:03:24.351744
